"last_name, first_name","player_id","year","k_percent","bb_percent","woba","xwoba","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","swing_percent"
"Cabrera, Miguel",408234,2021,22.4,7.6,".305",".313",69.1,30.2,57.1,82,49.4
"Cruz, Nelson",443558,2021,21.6,8.7,".346",".367",73.8,31,52.6,77.3,51
"Peralta, David",444482,2021,17.1,8.6,".314",".294",66.3,27.4,59.9,86.8,46.5
"Blackmon, Charlie",453568,2021,15.6,9.3,".333",".358",67.9,26.2,63.9,85.8,47.3
"McCutchen, Andrew",457705,2021,23,14.1,".335",".340",63.7,19.1,50.5,81.1,41.7
"Turner, Justin",457759,2021,16,10,".358",".361",66.9,22.7,69.4,86.8,44.5
"Votto, Joey",458015,2021,23.8,14.4,".391",".404",67.9,22,50.8,77.6,43.9
"Andrus, Elvis",462101,2021,15,5.7,".270",".311",65.9,31.9,61.3,89.6,48.9
"Santana, Carlos",467793,2021,15.5,13.1,".294",".333",66.9,22.6,63.1,83.3,43.4
"Lowrie, Jed",476704,2021,21.1,9.6,".311",".344",70.8,20.9,53.9,81.8,46.7
"Brantley, Michael",488726,2021,10.4,6.5,".347",".361",65.9,24.1,78.1,92.9,45.6
"Gurriel, Yuli",493329,2021,11.2,9.8,".363",".326",62.2,26.1,75.8,91.2,42.8
"Rojas, Miguel",500743,2021,13.7,6.9,".311",".286",66.4,26.3,61.8,88.8,45.7
"Escobar, Eduardo",500871,2021,20.7,8,".334",".329",72.2,28.9,63.7,81.6,49.5
"Pham, Tommy",502054,2021,22.8,13.9,".318",".349",60,16,49.7,83.4,38.2
"Martinez, J.D.",502110,2021,23.7,8.7,".364",".372",76.5,33.7,53.3,79.1,54.2
"Goldschmidt, Paul",502671,2021,20,9.9,".373",".396",64.4,25.2,66.5,78.8,44.2
"Altuve, Jose",514888,2021,13.4,9.7,".357",".333",66.8,30.3,72.5,90.1,47.4
"Hernández, César",514917,2021,21.2,9.3,".302",".311",68.3,26.1,61.9,84.4,47.1
"Segura, Jean",516416,2021,13.8,6.9,".338",".321",66.7,30.1,69.1,88.6,48.7
"Marte, Starling",516782,2021,18.8,8.2,".364",".348",71,30.2,57.5,83.8,49.5
"Donaldson, Josh",518626,2021,21,13.6,".353",".386",70.2,22.6,57.9,77.5,45.2
"Freeman, Freddie",518692,2021,15.4,12.2,".379",".410",77.6,25.7,67.9,82.8,51.2
"LeMahieu, DJ",518934,2021,13.8,10.8,".315",".342",62,20.4,71.7,90.2,41.4
"Rizzo, Anthony",519203,2021,15.1,9,".339",".348",64.5,29.4,68.4,84.4,46.5
"Stanton, Giancarlo",519317,2021,27.1,10.9,".370",".361",63.5,28,49.5,76.5,44.2
"Perez, Salvador",521692,2021,25.6,4.2,".359",".369",78.6,44.7,50,79.3,58.9
"García, Avisaíl",541645,2021,23.5,7.4,".346",".364",81.9,37.2,50.4,74.5,58.1
"Villar, Jonathan",542340,2021,26.1,9.1,".320",".307",74.6,28,51,77.9,49.9
"Aguilar, Jesús",542583,2021,18.2,9,".334",".333",63.8,27.4,55.3,82.9,44.8
"Crawford, Brandon",543063,2021,19.1,10.2,".377",".353",77.6,27.9,47.6,79.8,51.7
"Cron, C.J.",543068,2021,21.4,11,".383",".366",66.3,30.8,57.7,80.8,47.1
"Grossman, Robbie",543257,2021,23.1,14.6,".337",".335",63.4,15.7,57.8,84,38.4
"Harrison, Josh",543281,2021,13.4,5.6,".325",".334",75.1,35.5,72.9,85.2,55.4
"Hosmer, Eric",543333,2021,17.5,8.5,".319",".327",67,31.8,61.8,85.4,48.3
"Semien, Marcus",543760,2021,20.2,9.1,".368",".336",69.7,21.3,55.7,85.6,45.1
"Grichuk, Randal",545341,2021,20.9,5,".300",".297",73.7,32.4,55.2,87,52.3
"Harper, Bryce",547180,2021,22.4,16.7,".431",".431",75.3,24.8,49.7,75.4,47.5
"Abreu, José",547989,2021,21.7,9.3,".354",".347",66.7,32.2,53.8,82.6,48.4
"Suárez, Eugenio",553993,2021,29.8,9.8,".306",".323",64.3,23.3,43.3,81.3,42.7
"Schoop, Jonathan",570731,2021,19.7,5.5,".324",".311",70.9,35.3,58.5,84.3,52.5
"Arenado, Nolan",571448,2021,14.7,7.7,".336",".313",67.4,29,65.4,89.6,46.8
"Farmer, Kyle",571657,2021,18.3,4.2,".316",".302",65.4,35.4,65.3,88.5,49.9
"Haniger, Mitch",571745,2021,24.5,7.8,".340",".348",65,29.2,49.9,79.9,46.6
"Hernández, Enrique",571771,2021,18.8,10.4,".338",".348",66.8,24.9,53.7,86,44.6
"Muncy, Max",571970,2021,20.3,14,".379",".406",60.3,15.7,52.1,83.2,37.6
"Seager, Kyle",572122,2021,24,8.8,".308",".320",72.3,29.2,50,79.5,49.6
"Taylor, Michael A.",572191,2021,27.3,6.3,".286",".300",75.3,30.5,49.3,77.5,51.9
"Yastrzemski, Mike",573262,2021,24.6,9.6,".326",".316",67.9,23,59.1,81.2,45.9
"Iglesias, Jose",578428,2021,14.7,4.1,".304",".298",68.5,42.8,69.5,89.5,55
"Bryant, Kris",592178,2021,23,10.6,".356",".347",73.7,26.7,46.5,82.4,48.7
"Canha, Mark",592192,2021,20.5,12.3,".333",".332",61.4,20.7,61.2,84.7,40.5
"Castellanos, Nick",592206,2021,20.7,7,".391",".375",78.9,36.2,51.3,79.8,55
"Judge, Aaron",592450,2021,25,11.8,".387",".418",66.1,23.7,50.7,79.8,42.5
"Machado, Manny",592518,2021,15.9,9.8,".350",".377",70.2,28.9,58.5,85.9,48
"Realmuto, J.T.",592663,2021,24,8.9,".336",".329",69.9,30.7,61.4,78.6,49.5
"Renfroe, Hunter",592669,2021,22.7,7.7,".344",".352",66.7,31.8,60.7,81.2,48.2
"Merrifield, Whit",593160,2021,14.3,5.6,".306",".304",71.3,29,71.4,86,50
"Bogaerts, Xander",593428,2021,18.7,10.3,".368",".358",62.4,31,66.4,84.5,45.7
"Polanco, Jorge",593871,2021,18.3,7,".349",".346",70.5,29.7,62.8,88.1,49.5
"Sanó, Miguel",593934,2021,34.4,11.1,".332",".323",66.1,26.5,36.1,74.1,44.6
"Duvall, Adam",594807,2021,31.4,6.3,".324",".329",67,34,51.6,81.1,50
"Báez, Javier",595879,2021,33.6,5.1,".344",".318",75.8,44.6,46.9,70.7,56.9
"Lindor, Francisco",596019,2021,18.3,11.1,".317",".344",70.8,26.2,60.9,83.4,47.4
"Story, Trevor",596115,2021,23.4,8.9,".341",".335",73.6,30.5,52.2,82,50.8
"Candelario, Jeimer",600869,2021,21.6,10.4,".344",".355",68.6,29.2,59.3,84.8,47.6
"Bell, Josh",605137,2021,17.8,11.4,".352",".362",74.1,23.8,55.3,83.7,46.7
"Betts, Mookie",605141,2021,15.6,12.4,".365",".357",63.9,18.1,61.5,89.8,40.4
"Tapia, Raimel",606132,2021,13.1,7.5,".305",".276",69,33,72.6,91.2,51.2
"Hernández, Teoscar",606192,2021,24.9,6.1,".369",".366",75.8,30.7,43.7,79.4,51.8
"Turner, Trea",607208,2021,17,6.3,".386",".363",72.4,26.4,56.6,84.6,49.2
"Ramírez, José",608070,2021,13.7,11.3,".372",".375",64.5,23.9,70.7,91.1,43
"Gallo, Joey",608336,2021,34.6,18,".348",".351",64.4,19,35.9,69.4,40.4
"Swanson, Dansby",621020,2021,25.6,8,".322",".329",72.4,24.1,51.8,75.6,48.1
